team,nationality,position,age,potential,name
PFC CSKA Moscow ,Russia,Carrilero Derecho|Medio Derecho|Extremo Derecho,29,Muy bueno,Mário Fernandes
Borussia Dortmund ,Denmark,Medio Centro Defensivo|Medio Centro,28,Muy bueno,Thomas Delaney
FC Porto ,Mexico,Lateral Derecho|Medio Derecho,27,Muy bueno,Jesús Corona
Real Madrid ,France,Portero,27,Muy bueno,Alphonse Areola
Real Sociedad ,Spain,Medio Centro Defensivo|Medio Centro,30,Muy bueno,Illarramendi
Shakhtar Donetsk ,Brazil,Medio Izquierdo|Medio Centro Ofensivo,32,Muy bueno,Taison
Roma ,Serbia,LB,34,Muy bueno,Aleksandar Kolarov
Sevilla FC ,Brazil,Medio Centro Defensivo|Medio Centro,33,Muy bueno,Fernando
Galatasaray SK ,Uruguay,Portero,34,Muy bueno,Fernando Muslera
Chelsea ,Brazil,Medio Derecho|Extremo Derecho|Extremo Izquierdo,31,Muy bueno,Willian
Atlético Madrid ,Spain,Delantero Centro,31,Muy bueno,Diego Costa
Villarreal CF ,Spain,Portero,31,Muy bueno,Sergio Asenjo
FC Bayern München ,Spain,Defensa Central|Medio Centro Defensivo,31,Muy bueno,Javi Martínez
